filename,hamming_distance,cosine_similarity,combined_score,preproc_time_db,feat_ext_time_db,hash_time_db
1.bmp,23,0.5897703,11.204594,0.0015680789947509766,0.008636713027954102,0.003934621810913086
10.jpg,27,0.4831614,17.336773,0.0024683475494384766,0.010353565216064453,0.0035266876220703125
100.jpg,27,0.56082356,15.783529,0.0020182132720947266,0.010018587112426758,0.004040241241455078
1000.jpg,25,0.5745491,13.509018,0.002000093460083008,0.009001016616821289,0.0036330223083496094
1001.jpg,35,0.76078904,19.78422,0.012365341186523438,0.008729696273803711,0.003206014633178711
1002.jpg,26,0.612411,13.75178,0.002328634262084961,0.008843421936035156,0.00323486328125
1003.jpg,26,0.612411,13.75178,0.0019135475158691406,0.009302616119384766,0.004134178161621094
1004.jpg,34,0.5448252,23.103497,0.002045154571533203,0.00832676887512207,0.0033752918243408203
1005.jpg,42,0.59912914,30.017418,0.001786947250366211,0.008006572723388672,0.003207683563232422
1006.jpg,28,0.61577606,15.684479,0.002050638198852539,0.009845972061157227,0.0032804012298583984
1007.jpg,23,0.5765836,11.4683275,0.002168416976928711,0.010920524597167969,0.0032308101654052734
1008.jpg,30,0.69386804,16.122639,0.0019309520721435547,0.008656024932861328,0.003885030746459961
1009.jpg,29,0.5972497,17.055006,0.001750946044921875,0.014221668243408203,0.0040607452392578125
101.jpg,32,0.56415737,20.716852,0.0018630027770996094,0.009448051452636719,0.004942417144775391
1010.jpg,29,0.5628135,17.743729,0.0024085044860839844,0.00924825668334961,0.0037217140197753906
1011.jpg,31,0.47613975,21.477205,0.0020606517791748047,0.00848078727722168,0.0032873153686523438
1012.jpg,23,0.6807522,9.384955,0.010604619979858398,0.008996963500976562,0.003289461135864258
1014.jpg,27,0.694685,13.1063,0.009915590286254883,0.008295059204101562,0.0032312870025634766
1015.jpg,35,0.45918912,25.816217,0.0019729137420654297,0.008742570877075195,0.004037380218505859
1016.jpg,36,0.4929291,26.141418,0.001909494400024414,0.00807809829711914,0.003153085708618164
1017.jpg,34,0.5680177,22.639645,0.0019104480743408203,0.009178876876831055,0.0031766891479492188
1018.jpg,38,0.5713769,26.572462,0.0018525123596191406,0.008643627166748047,0.003943681716918945
1019.jpg,29,0.6152381,16.695238,0.002040386199951172,0.009767293930053711,0.003374814987182617
102.jpg,24,0.5993656,12.012688,0.0021131038665771484,0.010015487670898438,0.004199981689453125
1020.jpg,28,0.6547053,14.905894,0.0019736289978027344,0.009068489074707031,0.004035472869873047
1021.jpg,32,0.5944158,20.111685,0.0018620491027832031,0.012255191802978516,0.0032105445861816406
1022.jpg,40,0.581465,28.3707,0.0017104148864746094,0.008080482482910156,0.003242969512939453
1023.jpg,34,0.5998289,22.003422,0.0018641948699951172,0.008255958557128906,0.003204822540283203
1024.jpg,30,0.49750665,20.049866,0.0019452571868896484,0.00872349739074707,0.003561258316040039
1025.jpg,35,0.75259686,19.948063,0.041848182678222656,0.01122426986694336,0.0042569637298583984
